case,algorithm,started_at,finished_at,return_code,log_file
s5_t500,mode_sdas,2026-05-27T02:23:46,2026-05-27T02:23:46,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas.log
s5_t500,mode_sdas_dual_archive,2026-05-27T02:23:46,2026-05-27T02:23:46,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas_dual_archive.log
s5_t500,mode_sdas_adaptive_subspace,2026-05-27T02:23:46,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas_adaptive_subspace.log
s5_t500,mode_sdas_dpic_only,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas_dpic_only.log
s5_t500,mode_sdas_dpic,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas_dpic.log
s5_t500,mode_sdas_dpic_dual_archive,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\mode_sdas_dpic_dual_archive.log
s5_t500,nsga2,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t500\nsga2.log
s5_t1000,mode_sdas,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas.log
s5_t1000,mode_sdas_dual_archive,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas_dual_archive.log
s5_t1000,mode_sdas_adaptive_subspace,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas_adaptive_subspace.log
s5_t1000,mode_sdas_dpic_only,2026-05-27T02:23:47,2026-05-27T02:23:47,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas_dpic_only.log
s5_t1000,mode_sdas_dpic,2026-05-27T02:23:47,2026-05-27T02:23:48,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas_dpic.log
s5_t1000,mode_sdas_dpic_dual_archive,2026-05-27T02:23:48,2026-05-27T02:23:48,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\mode_sdas_dpic_dual_archive.log
s5_t1000,nsga2,2026-05-27T02:23:48,2026-05-27T02:23:48,3221226091,F:\my_research\experiment_logs\20260527_022346_resume_t500_t1000\s5_t1000\nsga2.log
