task_id,window_idx,sat_idx
0,0,2
1,0,9
2,2,7
3,4,1
4,4,5
5,6,0
6,5,8
7,8,4
8,10,4
9,10,7
10,10,1
11,14,4
12,17,4
13,15,6
14,16,9
15,17,8
16,22,4
17,24,5
18,26,4
19,25,8
20,22,0
21,29,7
22,31,6
23,26,2
24,35,3
25,34,4
26,35,6
27,40,3
28,38,4
29,39,4
30,39,2
31,46,3
32,44,7
33,39,1
34,40,1
35,48,7
36,51,7
37,45,1
38,49,6
39,57,9
40,59,3
41,51,5
42,63,9
43,55,4
44,65,9
45,58,5
46,62,3
47,63,0
48,70,9
49,66,0
50,67,0
51,68,6
52,71,0
53,73,6
54,76,8
55,77,8
56,80,6
57,68,1
58,73,2
59,71,1
60,82,5
61,77,2
62,86,4
63,92,7
64,88,5
65,91,6
66,92,0
67,98,5
68,90,2
69,100,3
70,95,8
71,103,7
72,103,5
73,106,3
74,107,6
75,106,8
76,114,9
77,100,2
78,117,7
79,111,0
80,113,8
81,115,8
82,106,2
83,117,8
84,119,3
85,120,3
86,110,1
87,122,3
88,129,7
89,134,9
90,136,9
91,139,9
92,133,0
93,134,0
94,126,2
95,132,8
96,138,5
97,135,3
98,143,7
99,129,1
