Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,351.0,0.0,0.0,402.6110752774688,100.0,100.0
2,314.0,0.0,0.0,348.044156577613,100.0,100.0
3,283.0,0.0,0.0,356.8564477892303,100.0,100.0
4,304.0,0.0,0.0,357.9158083801806,100.0,100.0
5,296.0,0.0,0.0,350.94696032593447,100.0,100.0
6,293.0,0.0,0.0,334.6996835619296,100.0,100.0
7,301.0,0.0,0.0,378.0998119754841,100.0,100.0
8,317.0,0.0,0.0,347.38231120375775,100.0,100.0
Average,307.375,0.0,0.0,359.5695318864498,100.0,100.0
Std,19.435389756832766,0.0,0.0,19.938223605652013,0.0,0.0
