Run,Param_Set,DPIC_ALPHA,DPIC_SIGMA,DPIC_GAMMA,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,238.0,0.0,0.0,281.3475419681811,100.0,100.0
2,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,341.0,0.0,0.0,396.1347674500619,100.0,100.0
3,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,340.0,0.0,0.0,434.21271264659305,100.0,100.0
4,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,344.0,0.0,0.0,420.540626961917,100.0,100.0
5,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,291.0,0.0,0.0,317.359083821365,100.0,100.0
6,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,269.0,0.0,0.0,307.50191602644605,100.0,100.0
7,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,326.0,40.96000000000001,0.0,376.2166286668604,100.0,100.0
8,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,313.0,0.0,0.0,343.6406463495899,100.0,100.0
Average,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,307.75,5.120000000000001,0.0,359.6192404863768,100.0,100.0
Std,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,36.17233058568386,13.546246712650706,0.0,52.16364758214392,0.0,0.0
